state,candidate,percent_chance,date,url
georgia,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/georgia
georgia,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/georgia
georgia,Gabbard,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/georgia
georgia,Delaney,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/georgia
georgia,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/georgia
hawaii,Biden,42,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Sanders,26,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Warren,17,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Buttigieg,11,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Gabbard,0.7,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Klobuchar,0.7,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Bloomberg,0.6,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Steyer,0.3,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Yang,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Delaney,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
hawaii,Patrick,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/hawaii
idaho,Biden,42,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Sanders,29,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Warren,17,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Buttigieg,11,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Klobuchar,0.7,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Bloomberg,0.5,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Steyer,0.2,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Yang,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Bennet,0.1,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Delaney,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Patrick,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
idaho,Gabbard,0,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/idaho
illinois,Biden,47,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Sanders,23,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Warren,16,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
illinois,Buttigieg,14,2020-01-19,https://projects.fivethirtyeight.com/2020-primary-forecast/illinois
